Rk,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max,Name-additional
155,Taylor Hearn*,27,TEX,100,31,13,4,5,4,3,0,7,6,0.538,0,3,0,0,1,8%,42.4,67,13,20,9,0,4,5.3,5.3,4.5,82,5,8,0,0,92,hearnta01
156,Jonathan Heasley,25,KCR,104,21,21,4,10,7,1,1,6,15,0.286,4,1,0,0,7,33%,45.6,82,16,11,2,0,16,4.6,4.8,5,85,3,16,2,0,108,heasljo01
157,Kyle Hendricks,32,CHC,84.1,16,16,4,6,6,0,0,9,7,0.563,2,2,0,0,4,25%,48.8,84,23,12,1,0,7,5.8,5.8,5.3,84,7,8,1,0,116,hendrky01
158,Tommy Henry*,24,ARI,47,9,9,3,4,2,2,0,3,6,0.333,1,1,0,0,2,22%,46.4,67,18,7,3,0,6,4.4,4.8,5.2,86,1,8,0,0,95,henryto01
159,Jimmy Herget,28,LAA,69,49,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,55,55,55,11,2,1,0,5,6,3,43,1,0,0,0,43,hergeji01
160,Carlos Hernández,25,KCR,56,27,7,0,3,4,0,0,1,6,0.143,0,2,0,0,0,0%,32.4,46,10,16,4,0,4,3.3,4.3,4.2,78,3,4,0,0,90,hernaca04
161,Elieser Hernández,27,MIA,62.1,20,10,2,5,3,1,0,4,6,0.4,0,2,0,0,1,10%,44.6,62,32,6,2,1,7,6.3,5.9,4.7,81,5,5,0,0,97,hernael01
162,Jordan Hicks,25,STL,61.1,35,8,0,4,4,0,0,3,5,0.375,0,0,0,0,0,0%,47.6,52,33,17,12,2,2,3.1,2.3,3.3,62,7,1,0,0,82,hicksjo03
163,Garrett Hill,26,DET,60.1,17,8,3,3,2,1,0,3,5,0.375,0,2,0,0,2,25%,48.9,66,30,1,0,0,3,3.1,1.9,5.3,89,1,7,0,0,97,hillga02
164,Rich Hill*,42,BOS,124.1,26,26,8,7,11,3,0,14,12,0.538,0,5,0,0,6,23%,49.3,81,26,14,6,0,14,4.4,3.9,4.8,77,13,12,1,0,100,hillri01
165,Bryan Hoeing,25,MIA,12.2,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,16,16,16,3,1,0,1,0,0,3,73,1,0,0,0,73,hoeinbr01
166,Jeff Hoffman,29,CIN,44.2,35,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,56,56,56,8,2,1,0,5.6,0,1.7,34,1,0,0,0,34,hoffmje02
167,Tanner Houck,26,BOS,60,32,4,1,2,1,1,0,2,2,0.5,0,0,0,0,0,0%,49.5,66,36,6,4,1,2,3.1,3.9,4.2,69,3,1,0,0,89,houckta01
168,Adrian Houser,29,MIL,102.2,22,21,6,10,5,2,1,9,12,0.429,1,4,0,0,6,29%,46.1,71,18,9,2,0,13,4.7,3.7,4.8,87,6,10,5,0,103,housead01
169,Spencer Howard,25,TEX,37.2,10,8,2,3,3,2,0,3,5,0.375,0,3,0,0,0,0%,39,66,24,8,1,0,5,5.3,2.8,4.3,75,4,4,0,0,91,howarsp01
170,Dakota Hudson,27,STL,139.2,27,26,8,7,11,3,1,13,13,0.5,0,4,0,0,8,31%,47.3,74,11,17,5,0,13,5.2,4.4,5.3,85,8,16,2,0,104,hudsoda02
171,Drew Hutchison,31,DET,105.1,28,18,3,6,9,3,1,8,10,0.444,2,1,0,0,2,11%,46,59,28,17,7,0,8,4.8,5.7,5,82,5,11,2,0,103,hutchdr01
172,Cole Irvin*,28,OAK,181,30,30,9,13,8,3,5,12,18,0.4,2,4,0,0,15,50%,52.2,82,10,12,5,0,16,3.5,3.4,6,87,6,22,2,0,105,irvinco01
